chapter_number,cover_page,in_depth_summary,error
204,"Hatchan's Sea-Floor Stroll, Vol. 19: ""The Map Marks the Spot of the Great Octopus Mash"".
One bad octopus deserves another: Hatchan finds the ""legendary takoyaki recipe"" leads to a huge, ferocious beast.","Luffy enters the basement and continues to look for Crocodile. He dodges the falling pillars, pointing out that the whole chamber is falling apart. Meanwhile, Vivi assures Usopp that the bomb is in the clock tower. Usopp writes a note for everyone else while Vivi goes ahead of him. Baroque Works find Vivi by Usopp's signal. Zoro, Sanji, Nami, and Chopper head to the signal. Usopp scratches a blackboard with his fingernails, using Usopp Noise, to make a high noise that hurts everyone's ears near him. He then grabs Vivi's hand and runs away, but Baroque Works chase after them.

Luffy finally confronts Crocodile. Crocodile, angry about Luffy still being alive, asks how many times does he have to kill Luffy until he is satisfied. Luffy replies that he had taken something from him, the country. He has flashbacks of Vivi. He goes and kicks Crocodile's face, Crocodile gets up and becomes angry. Luffy screams Crocodile's name and punches him in the face. As Crocodile wonders how Luffy can still touch him even without water, he realizes that Luffy is using the blood on his hands, which is just as effective. Luffy kicks Crocodile in the stomach. Crocodile takes the upper part of his hook to reveal a poisonous hook. Luffy and Crocodile get into fighting positions and start their third and last fight, surrounded by falling rubble.

Meanwhile, the Marines spot Zoro running. As Zoro prepares to fight them, the Marines yell at Zoro that he is going the wrong way, and they tell him to go north to reach the clock tower. More Marines defeat Baroque Works, Vivi tells Usopp to hurry but he is confused. Tashigi is among the Marines and tells Vivi and Usopp that they will protect them and to hurry to stop the explosion from happening.",
205,"Hatchan's Sea-Floor Stroll, Vol. 20: ""Wrath of the Hoodwinked Hachi!!""
Concluding that Macro has tricked him, Hatchan flies into a rage, beating Mash senseless in the process.","As members of the rebel army and royal army continue their fighting, Vivi grows distracted while running towards the clock tower. Usopp, relieved the Marines are helping them, tells Vivi not to look or think about the fighting and just concentrate on stopping the explosion. With a minute and a half left, Usopp and Vivi reach the clock tower, meeting up with Nami and Chopper. Vivi then tells them the bomb is located at the absolute top of the tower. Pell flies around, trying to find the location of the smoke flare Usopp sent earlier, but he is suddenly shot in the air. A mysterious figure points out that they shot down Pell with their ""Ribbit Ribbit Gun"".

In the underground chamber, Luffy continues his battle with Crocodile, dodging the Warlord's poisoned hook attack. Luffy lunges forward, preparing to use Gomu Gomu no Bullet, but he stops himself as Crocodile extends his right arm, knowing that if Crocodile manages to grab him, he will become instantly mummified again. Luffy begins to struggle trying to land attacks while avoiding Crocodile's right hand and his poison hook. Luffy attacks again, but he is struck by Crocodile's poison hook. Knocked back by a kick from Luffy, Crocodile comments that it is now over, as his poison will spread all throughout Luffy's body. Luffy then tells the Warlord that he doesn't understand a single thing.

Back at the clock tower, Vivi tries to search for Pell, planning to use his ability to fly to reach the top of the tower. Nami and Usopp point out that they are forced to use the stairs as they have one minute left, as Sanji suddenly appears on a high floor of the building, waving down at the others. Zoro also appears, at an even higher floor, his explanation being that the Marines told him to go north, which he mistook as ""up"". Vivi begins to lose hope, as she points out that the clock tower can only be reached by a secret staircase, any forcefully entering would probably trigger the explosion prematurely. Nami stops Vivi from going to the stairs, stating she has a plan. The Straw Hats notice two figures standing by the bomb in the clock tower, revealed to be Mr. 7 and Miss Father's Day, the latter responsible for shooting Pell out of the air. There are 30 seconds left until the bomb explodes.",
206,"Hatchan's Sea-Floor Stroll, Vol. 21: ""Where Are They?""
Hatchan rushes back to the spot he met Macro; though the gang is long gone, Pappag is still there to point the way.","Members of Baroque Works disguised as the rebel army confront the Marines, asking them if they would really attack innocent civilians getting caught into the battle. Tashigi cuts him off, cutting him down, then telling the Marines to use their own senses to identify the enemies. Tashigi then notices that there is hardly any time left before 4:30. At the clock tower, Mr. 7 and Miss Father's Day wonder if they will be promoted if they succeed in their mission. With time running out, Mr. 7 prepares to light the fuse to the cannon holding the bomb.

In the underground chamber, Crocodile wonders why Luffy can keep on fighting despite the odds, as Luffy continues to relentlessly attack the Warlord. Luffy uses Gomu Gomu no Gatling, which Crocodile manages to dodge with high speed. Crocodile mentions that Luffy is growing numb from the poison, also mentioning that win or lose, Luffy will be buried under rubble, calling it a miracle that Luffy can still stand after 2 prior fights with him and taking a ridiculous amount of damage.

Back at the clock tower, Mr. 7 prepares to light the fuse to the bomb, with 15 seconds left. Nami begins to go through with her plan, calculating something while Chopper, in his Walk Point, stands on top of Usopp, with Vivi sitting on top of Chopper. Miss Father's Day tells Mr. 7 she wishes to do a countdown, with 13 seconds left. Nami uses Cyclone Tempo, aiming for Usopp's crotch, prompting him to propel himself along with Chopper and Vivi high into the air, to Sanji's location. Chopper, carrying Vivi with him, then jump on Sanji's leg, who launches them even higher to Zoro's location. Zoro prepares to launch Vivi and Chopper using his swords, while he warns Vivi that two weirdos are up there with the bomb. There are 10 seconds left. Before Zoro could launch, Mr. 7 and Miss Father's Day notice the Straw Hats, preparing to fire at them while they are stuck airborne.

Meanwhile at the chamber, Crocodile yells at Luffy that he could have avoided all of this if he had just abandoned a couple friends, and Luffy yells back saying that because Vivi is his friend, he doesn't want her to die, arguing that as long as Vivi doesn't give up on her country, he and his crew won't stop fighting either, even if they die.

With 7 seconds left, Zoro plans to launch Chopper and Vivi towards the bomb, as Mr. 7 and Miss Father's Day aim their guns at them, telling Chopper it is up to him.",
207,"Hatchan's Sea-Floor Stroll, Vol. 22: ""Macro the Mermaid Seller"".
The Macro Pirates ride high on the seas, with Camie trapped in a special compartment on their ship.","Luffy ends up collapsing due to his injuries and the poison circulating through his body, while Crocodile mocks him. Crocodile then tells him that if he (Luffy) cannot defeat him, then everything Luffy has been through up until now will have been for naught. Crocodile then criticizes Luffy, calling him a small-time pirate who had just starting sailing, and mocks him even further.

At the clock tower, Zoro launches Chopper and Vivi upwards, as Mr. 7 and Miss Father's Day fire their weapons at Zoro, further injuring the swordsman. Chopper is shown in his Heavy Point, having thrown Vivi toward the tower with all his might, and transforms back to his Brain Point to dodge Mr. 7 and Miss Father's Day's attack in the air. With 3 seconds left, Vivi, flying towards the Baroque Works agents, uses her Kujakki String Slasher Runback to evade the sniping duo's attack and knock them out of the clock tower.

With one second left, Vivi desperately tries to put out the fuse, while Crocodile shouts out that it's over. While awaiting the fate of Alubarna, a flashback is shown of several children asking a young Vivi to play with them. A royal army member asks Chaka to do something about the kids, while Pell tells Vivi to have fun as she heads out for a secret base. Later, Chaka asks Pell where Vivi has gone, only for Pell to reply that it's a secret. Chaka, however, realizes she headed for the clock tower, commenting that the weather is nice.

Back in real time, Usopp asks if they were successful in stopping the explosion, as the rebels and royals continue fighting. It was revealed that Vivi managed to cut the fuse with her Peacock Slashers just in the nick of time. However, a ticking sound can still be heard, and Crocodile explains to Cobra that a plan is something that covers all possible scenarios, revealing that the bomb is actually a timer to explode on its own (with the difference amounting to several seconds), Crocodile having set this up just in case something went wrong with the manual fuse. Vivi, confirming this, relays this information to the perplexed Straw Hat Pirates.",
208,"Hatchan's Sea-Floor Stroll, Vol. 23: ""Takoyaki Punch!!""
Hatchan catches up to the Macro Pirates, and easily destroys their ship with a flurry of punches.","As Vivi watches the ticking bomb, she remembers Crocodile's words, calling her idealism unbearable and sickening, and that no matter what she does she cannot save this country. The Straw Hats realize that the ticking bomb will still destroy most of Alubarna with 5 km blast diameter, and they begin to panic. Vivi, furious at Crocodile for constantly making people look like fools, starts to cry in anguish, as someone is seen standing behind her.

At the underground chamber, Luffy stands back up, claiming that Crocodile can't beat him. Crocodile remarks that Luffy is on the verge of death, and his words at this point are all bark and no bite. While Luffy yells out that he will become the Pirate King, Crocodile attacks him with his hook, which Luffy dodges and uses his leg to divert the attack to the ground, breaking the hook. Luffy then says he will surpass Crocodile.

The man standing behind Vivi is revealed to be Pell, who calmly remembers Vivi's childhood and the Sand-Sand Clan while Vivi desperately tries to tell him about the ticking bomb. In a flashback, Pell angrily slaps a young Vivi, asking her why she is in a dangerous place, also asking her what would he do if she had been seriously hurt. Vivi is then shown riding on top of Pell in his Falcon form, even though the king has forbidden this. Vivi asks why Pell trains, and Pell responds by needing to get stronger to protect what needs to be protected. Back in real time, Pell mentions to Vivi that protecting the Nefertari household is considered to be his proudest honor.

Pell then transforms into a falcon and uses his talons to grab the bomb, flying high in the air, much to the shock of Vivi and the Straw Hats watching him. As Pell says to himself that he is the guardian of Arabasta that vanquishes all enemies of the royal household, he flies higher and higher into the air, when the bomb finally explodes, letting off a tremendous explosion, however Alubarna remained unharmed.",
209,"Hatchan's Sea-Floor Stroll, Vol. 24: ""Nobody Tricked You"".
While a freed Camie reunites with a relieved Pappag, the beaten Macro Pirates protest that they'd fully honored the deal, much to Hatchan's confusion.","Even from the great height above Alubarna, the bomb's blast radius reaches the fighting armies below and blows most off of their feet; including Tashigi and Usopp. Shocked, Vivi and the Straw Hat Pirates are the only ones to witness Pell's sacrifice to save the country.

However, it is not long before Usopp and Chopper notice the rebels and royal army standing up again only to continue the now pointless war. Tashigi tries to intervene in the fight, only for a nearby marine to pull her aside from the dangerous battle. Calling from above, Vivi yells for the armies to stop fighting over and over again, however her voice fails to reach the soldiers fighting below. Touched by her words, Nami pleads with her crewmates to help stop the fighting and save anyone they can as Vivi continues to shout from above.

Back inside the Tomb of the Kings, Luffy and Crocodile continue their battle. Despite his normally intangible body, Crocodile is still being struck by Luffy who continues to exploit his Devil Fruit's weakness. Landing a volley of devastating blows, Crocodile is left bewildered as to where Luffy continues to draw his strength from as the poison inside his body should already be working. Thinking back to the Straw Hat Pirates' progress over Arabasta and his organization's inability to stop them, the rogue Warlord becomes enraged and reveals a secondary knife from his prosthetic. Asking the rookie before him if he even knew who he was fighting, Luffy responds by saying he does not care, and that he will surpass him.

Kicking Crocodile into the air, the powerful pirate attacks below with Sables: Pesado which creates a large shock wave upon impact. Enduring the attack, Luffy inflates himself and twists around, blowing all the air downwards to launch himself into the air with great momentum and spin. The two then launch their final techniques, only for Luffy's Gomu Gomu no Storm to overpower and breakthrough Crocodile's Desert la Spada. Beating the veteran pirate through bedrock and out into the sky over the plaza, Luffy falls into the tomb; finally defeating Crocodile.",
210,"Hatchan's Sea-Floor Stroll, Vol. 25: ""Within the Finest Ingredient's Hat: The Legendary Sauce"".
Returning to Mash (with a surprised Camie and Pappag in tow), Hatchan finds the Macro Pirates had been honest after all: inside the octopus' hat is a jar of the perfect takoyaki sauce.","Luffy's final attack sends Crocodile smashing through the roof of the mausoleum, through solid bedrock, and into the air, knocking over several buildings in the process. Meanwhile, the war is still going with the Straw Hat Pirates still fighting. Sanji sees that Crocodile is sent flying through the sky and tells the others to look as well. Vivi sees Crocodile still flying from Luffy's attack. At that moment, she thinks back to the time where Luffy remarks that he will defeat Crocodile and that all he needed to do was blast him off. Back at the catacombs, Luffy starts to fall down following his attack finishing attack on Crocodile. Cobra is astonished and looks in awe wondering how it was possible for Luffy to do such a thing through so many layers of rock. Back at the surface, Straw Hats rejoice over Luffy's victory over the Warlord. Meanwhile, Vivi tries to end the war. She yells as loud as she can for everyone to stop the bloodshed since there are no more enemies, but no one listens to her. Suddenly, it begins to rain out of the blue, and the fighting slowly comes to a halt. Tashigi is also surprised by the rain and notices that people are starting to stop fighting. Afterwards, both Luffy and Crocodile crash into the ground at the same time. At the catacombs, Cobra asks Luffy is he is alright. On the surface, Vivi once again urges for the people to stop fighting. This time, with the help of the rain, the people start listening to her and the war finally comes to an end with Vivi saying that the nightmares have ended. The catacombs begin to collapse, unable to withstand Luffy's fury at Crocodile. As a result of the fight and poisoning he got from his fight with Crocodile, Luffy is unable to move and is very weak. Cobra goes over to Luffy and thanks him for saving his country, to which Luffy replies that it was no problem. Afterwards, more of the catacombs begin to crumble.",
211,"Hatchan's Sea-Floor Stroll, Vol. 26: ""With Macro's Treasure Too, No Way I'll Fail"".
With a bigger haul than he would've ever dreamed—the legendary takoyaki sauce, the perfect meat, and a heap of treasure from Macro's ship—Hatchan races off to re-propose to Octopako.","While the rains continues to fall, and despite Vivi's words, the two armies still continue to distrust each other. However the princess receive helps from 2 of her friends she thought dead. Chaka appears in front of the royal army and order them to stop while on the rebel's side Igaram, carrying a wounded Kappa, reveals them that the King, who started the up rise by killing innocent people, was a fake. After the truth is revealed, all the weapons are put down and peace finally comes to Arabasta.

Vivi, relieved that Igaram is alive, runs down from the tower searching after her Straw Hats friends, but they have left, searching after their captain. They found him unconscious carried on the back of a beard man. When they are finally rejoined by Vivi, she reveals them that the beard man is none other than her father, the king of Arabasta, who explained to them what happened in the Royal Tomb. The Straw Hat Pirates then ask Vivi and her father to hurry to the place so that they can conclude formally the battle, when asked to come with her, they decline as being pirates, they can not be given honor.

Once alone, everyone collapses for a well deserved rest.

Meanwhile, Tashigi the Marines finds the unconscious Crocodile and arrest him, and revoke his title of Warlord, for his betrayal against the government, meanwhile, the rest of the unconscious Baroque Works agents are shown, and presumably arrested, with the excption of Mr. 2. While Cobra reassures his people by forgiving the rebels and asking everyone to help him rebuild their country. Arabasta's sorrow has finally ended.",
212,"Hatchan's Sea-Floor Stroll, Vol. 27: ""Meanwhile, Octopako Had Gone Out, Too"".
The preening Octopako has gone out on her own sea-floor stroll—carried by an entourage of blowfish.","Rain has finally once again fallen over Arabasta after three years. Aboard a Baroque Works ship in south Alubarna, Smoker is berating a colleague for suggesting that he used the Dance Powder, stating he knows well the difference between right and wrong. Changing the subject, the colleague is introduced as Marine Captain ""Black Cage"" Hina. She is annoyed with Smoker for using some of her best troops to search a ship, which Smoker reports was for the sake of a fellow marine. Hina calls Smoker out on this further, stating that he's always treated Tashigi a little differently. Smoker ignores this, asking Hina to take the Baroque Works ship back to Marine Headquarters along with Crocodile. Hina asks what gives him the right to order her around, and Smoker responds by having her call a coin toss in the air. Losing, she becomes even more annoyed with Smoker and tells him that he never changes.

Back in town, Tashigi has ordered her subordinates not to lay a hand on the unconscious Straw Hats, much to their frustration. Vivi sees Koza being carried away for medical attention, and comes to his side to inquire about his wounds. She asks him not to die, as his father is still waiting for him back in Yuba. Amused at how much Vivi has always cared for others, he assures her that he also inherited his father's stubborn life force, and he will be just fine. He then promises he will go back to him when his wounds are healed. The country continues to rejoice in the rainfall; even the kung-fu dugongs are celebrating. Toto is shown as well, wondering if his son could see it.

In the Royal Palace, the Straw Hats are all fast asleep and recovering while Vivi watches the rainfall from the window. Igaram eventually joins her, tucking the Straw Hats in as they reflect on the day's events. The next day, Tashigi arrives at Alubarna's eastern port to rendezvous with Smoker and Hina. She is visibly upset at her role (or lack thereof) in Crocodile's defeat, and apologizes to Smoker for not only helping the pirates but also allowing them to escape. Smoker isn't accepting of her apology, asking her if she pursued her own justice like he instructed. She laments that helping from the back was the only thing that she was capable of doing, and that such is not her justice. Smoker tries to further appease her feelings of inadequacy, but she blows it off and tearfully walks away. This pushes Smoker to his boiling point, and he yells at Tashigi to do something about it other than crying. He implores her to try getting stronger then, to which she clinches her sword and tearfully vows that she will.

Smoker instructs the marines to bring Crocodile aboard the ship, as they inform him that a call is coming in from a Marine base. The person on the other line informs Smoker that he and Tashigi will be receiving medals and promotions for their defeat of Crocodile. In a fit of rage, Smoker cuts him off and tells him that it was the Straw Hats that were responsible for the downfall of Baroque Works and Crocodile, not them. Hina tries to reason with Smoker that resistance is pointless, as the World Government has decided to try and cover up the pirates' role in Arabasta's liberation. Smoker angrily replies that the cover-up is precisely why Tashigi is crying right now. He then yells at the marine correspondent on the other line to tell the high-ranking officials responsible for this to ""go eat shit"", and that this is ""real"" justice.",
213,"Color Spread: ""Boo. Paratroops.""
Lunching on a sunny seaside rooftop, the Straw Hat Pirates find themselves invaded by a company of food-stealing seagulls and parachuting pigs.
(The ""Boo"" appears to be a pun on its meaning of surprise in English and its meaning of a pig's ""oink"" (ブー, Bū?) in Japanese.)","Chopper has awoken from his rest and taken medical care of the Straw Hat Pirates, much to the astonishment of one of the Royal Palace's doctors. He praises Chopper further after Nefertari Vivi mentions that he hails from Drum Kingdom (known for their doctors), stating that after 40 years as a doctor, he has seen nothing like it. Chopper handles the praise in vintage fashion by humbly accepting it but yelling at them to stop at the same time, even pulling up a chair for the doctor to sit next to him. Vivi looks on with a smile as she continues to assist.

The people of the city have begun to rebuild after the war. Sanji and Usopp walk the streets, restocking on necessary supplies, as Usopp comments on how strong the people are. As they reach the area of town decimated by the encounter between Commodore Smoker, Portgas D. Ace, and Monkey D. Luffy, Sanji notices something.

In another area, Zoro has already started training again. He believes that he cannot consider himself stronger if he cannot draw upon the power he used to defeat Mr. 1 at will. Nami is browsing Nefertari Cobra's personal book collection, as he is letting her keep all of them. At the entrance to the palace, Chaka is arguing with the Marines over harboring pirates, ironically just as Sanji and Usopp are returning. He asks them if they've gotten everything they need, and then comically returns to arguing with the Marines, asking if they can prove the pirates are actually there. Sanji and Usopp comment that it's going to get really loud when ""he"" wakes up.

Sure enough, Luffy awakens in a roar, wondering where his hat and breakfast are. Vivi commends Luffy for his high spirits, and he tells her that he is like this all the time. However, Nami reminds him of just how serious his condition was, and he thanks them for their care. Just as he does, Zoro returns from his training, inciting Chopper's anger. Zoro tries to brush off the medical risk as his own problem, to which Chopper asserts his position as the ship's doctor, reminding him that he said not to take off his bandages. Zoro retorts that the bandages make it hard to move, and Chopper angrily replies that the bandages are there so he doesn't move. Luffy is incredibly shocked to find out that he'd slept for 3 whole days, equating this to 15 meals (5 a day, as Usopp points out). Vivi assures Luffy that she's had dinner prepared, and as she does, Igaram's wife, Terracotta, enters to confirm that dinner will be ready in half an hour. However, her striking resemblance to Igaram himself confuses both Luffy and Zoro, causing the latter to actually ask her if she's a cross-dresser. After Vivi clarifies that she is the palace's Head Servant, Terracotta continues on to explain that she has heard that Luffy eats a lot before dinner and provides him with fruit in the meantime. Luffy warns her of his appetite, but she assures Luffy that she has worked at the palace for 30 years and will not disappoint.

At the dinner in the Royal Palace, Luffy has consumed his food so fast that the servers are struggling to keep up, and he has actually begun eating everyone else's food. This, in turn, causes them to try to eat their own food faster, and chaos ensues. Usopp gets Luffy to eat an extremely hot pepper and laughs at his anguish, but when Matsuge joins in, he wonders how the camel got there. While the palace guards are visibly annoyed by the unprecedented commotion at the dinner table, they are pleased to see Princess Vivi enjoying herself after all that she has been through. The antics eventually win them over as well, and they too join the laughter and happiness the occasion brings.

The crew enters the bathhouses (separated by gender) afterwards. Luffy and Usopp fall and hit their heads, trying to see who can get to the bath first. As Zoro helps bathe Chopper, Luffy and Usopp pretend to spar with each other, apparently in an attempt to mock Zoro. However, Zoro notices that they are completely naked as they're doing this and asks what they're doing. Sanji asks Igaram where the girl's baths are. Igaram is infuriated, and he refuses to answer the question, but Cobra tells them anyway, prompting more anger from him. Nami and Vivi are bathing together, and as they switch to each other's backs, they catch the guys, except Zoro, peeping over the wall. Vivi is appalled, but Nami isn't surprised in the least, even charging them all 100,000 a piece.

As Nami and Vivi continue their bath, Nami tells her that they are thinking of leaving Arabasta that night. Now that Luffy has fully recovered, they no longer have a reason to stay. Furthermore, the Marines are guarding the coast, and the Going Merry will be in danger. On Cobra's side, he thanks the crew for their help with the country (though the guys initially think it's for the peeping). Cobra then bows before the Straw Hats to thank them again, much to their shock. Igaram tells Cobra that he should not bow as a king, but Cobra tells him that status exists with their clothing, and as naked men in the bath, there is no king. Cobra clarifies that he is thanking the crew as a father, with a citizen's heart.

As the Straw Hats regroup in their room later, they discuss leaving that night. The decision is given to Luffy, but he says that they should have another meal in Arabasta before they go, earning him a beatdown from the crew. In another room, Chaka and Igaram are discussing an extremely important turn of events as bounty posters sit on the table. These posters are revealed to be Luffy and Zoro's: Luffy's bounty has increased to 100 million, while Zoro has gained his first, of 60 million. Igaram wonders if there is any escape for Luffy after having defeated one of the Seven Warlords of the Sea.",
214,"Hatchan's Sea-Floor Stroll, Vol. 28: ""Too Bad! The Shipwreck-Smashed Headband Catfish Village"".
Octopako immediately demonstrates her character by mocking the survivors of a recently-destroyed village.","Igaram walks in the room to find the Straw Hat Pirates had already left. He asks Vivi why, and she simply replies that they are pirates. Jango and Fullbody are seen dancing after capturing an enemy ship. Hina is talking to a marine about getting ready to capture the Straw Hat Pirates. However, the marine reports that their ship is missing.

Luffy, and his crew are now riding in the desert, on the Super Spot-Billed Duck Troops. Nami is concerned, and the crew asks her if it is about Vivi. However, Nami replies that she forgot to ask Vivi for their payment.

Igaram is worried about the Straw Hat Pirates, due to their new bounties. But Vivi reassures Igaram, saying that it's useless as the pirates would only celebrate at becoming even more infamous. Vivi is revealed to have a speech the next day.

Vivi thinks of before the Straw Hat Pirates left. Someone brought in a Den Den Mushi, and the pirates find out that the caller was Mr. 2. Mr. 2 told them that he took their ship away, and everyone was outraged at losing their ship. However, Mr. 2 told them that he's their friend and then hung up. The Straw Hats discussed about what to do, but in the end, they decided to trust Mr. 2.

Vivi is torn between continuing to travel with her friends, or to stay and remains as the princess of Arabasta. Nami gives her 12 hours to decide what Vivi should do.

Now, the Straw Hat Pirates has reached where Mr. 2 is. The crew distrusts him, as he is one of the Baroque Works agents. However, Mr. 2 tells them that the Baroque Works is over, and he saved the crew's ship from the Marines. Luffy, Chopper, and Usopp celebrates that Mr. 2 is still their friends.

A marine reports to Hina that they had found the Straw Hat Pirates and she instructs them to prepare for battle.",
215,"Hatchan's Sea-Floor Stroll, Vol. 29: ""The Starving Catfish Village Meets Hachi"".
Not long after Octopako has left, Hatchan's party finds the catfish village, with Camie and Pappag bursting in tears at their plight.","Igaram awakens in a sweat from a nightmare of Vivi announcing her intentions of becoming a pirate. He frantically rushes to her room and barges inside, where he instead finds her being fitted for a dress by his wife, Terracotta, and another palace servant, quickly earning their ire for his intrusion. Dumbfounded and embarrassed, he is beaten up and kicked out when it's determined that he doesn't actually have anything to say. Upon exiting, he notices Cobra has been there as well. Cobra tells Igaram that his wife is a scary woman, revealing he's been beat up as well. This infuriates Igaram, who asks the king what exactly he tried to do.

Vivi wonders if her dress is too tight, but Terracotta tells her that this is exactly what a princess should look like. She comments on how the town square is already filling up with people, despite telling them that the princess' speech wasn't until 10 a.m. She resolves that it only makes sense, however, as the speech has been delayed for 2 years: Vivi was originally supposed to give her coming-of-age speech when she was 14 years old. Vivi wonders if she can say anything of note, but Terracotta assures her that she only needs to show that she has matured into adulthood. Cobra has arranged for every Arabasta citizen to hear her speech. In another area, Chaka mentions to Igaram that there is no longer anything they can do about the battle at their port.

At port, the Straw Hats have begun battle with the Marines. Luffy yells at them to fire cannonballs, since he can actually bounce those back, as the Going Merry's hull has been pierced by several iron spears. Nami instructs the crew to brace for more, and Chopper, who has been doing the patchwork for the damage, indicates that he cannot keep up. They are outnumbered eight ships to one, and the Marine ship formation they are surrounded by makes chasing or escaping from them near impossible. Jango and Fullbody brag about their unit's formation. Luffy is surprised because he remembers that Jango was a pirate, while Sanji doesn't remember Fullbody at all. Fullbody boasts about his new abilities, and Jango attempts to hypnotize the crew, but they are blindsided by a devastating blow to their ship. Luffy mistakenly believes it was Usopp, and praises him accordingly. As Usopp tries to brag about the exploit, Mr. 2's subordinates inform him there is a problem, in the form of ""Black Cage"" Hina. Luffy is clueless as to who this is, and Bon Kurei attempts to explain. Hina's fleet is seen approaching the crew. She comments that they've weakened the Straw Hats, but warns her subordinates not to get too cocky. She implores them all to stand back once they reach them, as they will only get in the way.

Bon Kurei is frantically explaining to the Straw Hats that they need to escape through the opening that they've created to the south. Luffy tells him he can go, but that the Straw Hats will be staying. Bon Kurei is appalled by this, as Nami explains that they made a promise to be at the Eastern Port. He wonders if they are doing this for the sake of some treasure, to which Luffy happily responds that they will be picking up a friend. Bon Kurei is even further taken aback by this, surprised that the crew would go to such lengths for a friend. Back in town, the square has completely filled up to witness Princess Vivi deliver her speech. In the palace, Cobra enters his daughter's chambers (with her permission this time). He begins talking, but before he can finish his thought, he is pleasantly surprised by how much Vivi resembles her mother. Vivi mentions that she has something important to discuss, and both Cobra and Igaram brace themselves for the worst.

Aboard the Going Merry, Bon Kurei's subordinates are confused by his sudden change in behavior. He asks them and the Straw Hats alike if they can eat a meal the same after knowing that they abandoned a friend who was risking themselves to save another friend. On Hina's ship, one of the Marines notices that the Going Merry and Bon Kurei's ship are now going in opposite directions. He concludes that Bon Kurei's ship must be a decoy for the Straw Hats to escape with the Merry. However, after spotting the Straw Hats aboard Bon Kurei's ship, he tells Hina instead that the Going Merry must actually be the decoy. Hina spots Luffy aboard Bon Kurei's ship with her binoculars to confirm, and she immediately closes in on the vessel.

Nami comments that they now have three minutes and need to move full speed ahead. Having closed the gap to Bon Kurei's ship, Hina confronts the Straw Hats. Upon closer inspection, however, it is revealed that they are actually being impersonated by various members of Bon Kurei's crew, while he himself used his powers to copy Luffy's appearance. One of Hina's men comments on how the Going Merry is now headed back to Alubarna's eastern port, and Bon Kurei chides Hina for falling into his trap. He announces his crew's reputation as masters of disguise and, more importantly, their status as friends of Luffy. With this, he challenges Hina to come at him if she dares, and the battle ensues. As the Straw Hats sail away, Luffy, Chopper, Usopp, and Sanji promise to never forget Bon Kurei's sacrifice.",
